"communityname","state","fold","population","householdsize","racepctblack","racePctWhite","racePctAsian","racePctHisp","agePct12t21","agePct12t29","agePct16t24","agePct65up","pctUrban","medIncome","pctWWage","pctWFarmSelf","pctWInvInc","pctWSocSec","pctWPubAsst","pctWRetire","medFamInc","whitePerCap","blackPerCap","indianPerCap","AsianPerCap","OtherPerCap","HispPerCap","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ","PctOccupManu","PctOccupMgmtProf","MalePctDivorce","MalePctNevMarr","FemalePctDiv","PersPerFam","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctWorkMomYoungKids","PctWorkMom","PctKidsBornNeverMar","PctImmigRecent","PctImmigRec5","PctImmigRec8","PctImmigRec10","PctRecentImmig","PctRecImmig5","PctRecImmig8","PctRecImmig10","PctSpeakEnglOnly","PctNotSpeakEnglWell","PctLargHouseFam","PctLargHouseOccup","PersPerOccupHous","PersPerOwnOccHous","PersPerRentOccHous","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","HousVacant","PctHousOccup","PctHousOwnOcc","PctVacantBoarded","PctVacMore6Mos","MedYrHousBuilt","PctHousNoPhone","PctWOFullPlumb","OwnOccMedVal","RentMedian","MedRent","MedRentPctHousInc","MedOwnCostPctInc","MedOwnCostPctIncNoMtg","NumInShelters","NumStreet","PctForeignBorn","PctBornSameState","PctSameHouse85","PctSameCity85","PctSameState85","LandArea","PopDens","PctUsePubTrans","murdPerPop","rapesPerPop","robbbPerPop","assaultPerPop","burglPerPop","larcPerPop","autoTheftPerPop","arsonsPerPop","ViolentCrimesPerPop","nonViolPerPop","rip","midwest","south","northeast","west"
"Shermancity","TX",1,31601,2.54,12.63,83.22,0.77,4.39,15.73,28.57,15.16,14.26,100,24763,73.92,1.54,37.36,32.68,7.02,15.2,29509,14051,7496,9126,9107,5267,4542,15.61,9.07,24.86,19.23,7.19,57.76,25.33,27.59,15.74,27.28,11.48,27.6,15.26,2.99,68.41,64.64,75.18,70.94,67.43,72.96,2.47,17.91,35.39,56.08,65.46,0.53,1.05,1.66,1.94,94.85,0.81,3.66,2.51,2.42,2.5,2.31,59.76,3.41,52.11,2,1807,87.33,57.83,2.77,42.34,1965,7.89,0.3,49800,305,380,23.8,17.1,12.9,1,0,2.97,65.73,44.95,74.82,88.66,38.7,816.1,0,3.11,90.25,220.96,407.69,1456.49,5654.8,469.94,18.67,722.01,7599.9,2,0,1,0,0
"SanPablocity","CA",1,25158,2.89,21.34,49.42,17.21,26.78,13.65,28.82,13.23,9.44,100,25479,73.45,0,24.98,22.99,23.63,13.18,28567,11407,10412,8238,9546,8330,7813,19.02,14.03,34.18,11.64,10.16,55.94,15.39,20.63,17.38,14.03,13.91,35.23,18.96,3.47,58.06,56.36,61.46,57.16,58.63,61.68,7.44,21.87,32.75,47.67,62.3,5.78,8.65,12.59,16.46,60.3,10.8,12.43,8.45,2.84,2.9,2.79,48.07,18.18,72.06,2,714,92.42,47.14,3.78,18.35,1963,6.25,0.64,117900,503,564,33,24.3,11.8,20,49,26.41,47.45,38.61,69.21,89.27,2.7,9387.3,11.22,44.42,77.73,1143.81,1340,1769.39,5404.4,1591.71,74.03,2605.96,8839.53,4,0,0,0,1
"BowlingGreencity","KY",1,40641,2.54,12.18,86.39,1.12,0.68,21.51,36.83,23.96,11.5,0,20043,75.23,1.24,34.02,27.11,9.6,13.84,27655,12608,6016,6636,9119,1982,16133,23.91,15.28,28.52,23.41,6.93,58.62,16.08,29.05,15.13,27.47,10.16,39.19,13.43,2.92,64.6,60.7,71.28,67.77,58.45,68.49,3.56,33.23,49.52,53.51,59.74,0.51,0.76,0.82,0.92,96.72,0.59,2.99,1.87,2.29,2.4,2.17,53.11,2.49,53.27,2,1528,91.27,50.59,1.51,28.93,1966,10.67,0.23,58200,267,332,27.9,20,12.3,28,2,1.54,70.53,41.51,72.68,88.87,30,1354.2,0.28,6.54,78.53,126.52,586.8,1269.58,3895.99,322.85,19.63,798.39,5508.05,2,0,1,0,0
"PineBluffcity","AR",1,57140,2.74,53.52,45.65,0.49,0.43,16.51,28.17,14.68,13.38,100,19143,69.31,0.63,24.41,33.46,13.58,14.16,24442,13974,5688,7669,12183,23509,10718,27.71,14.49,34.5,16.56,11.05,51.37,17.94,27.79,18.07,22.71,10.92,30.7,14.18,3.26,58.65,50.22,63.07,59.7,64.38,70.59,8.51,26.04,32.43,34.15,39.31,0.19,0.23,0.24,0.28,96.83,0.54,7.86,5.5,2.64,2.64,2.65,61.62,5.43,46.91,3,2318,90,61.74,4.06,39.65,1964,11.65,0.73,41200,219,333,29.1,17.5,15.7,28,0,0.71,80.16,56.01,85.46,92.02,43.9,1301.5,0.93,27.26,100.51,444.61,904.55,2987.92,3424.02,880.7,78.36,1476.93,7371,2,0,1,0,0
"NewUlmcity","MN",1,13132,2.53,0.06,99.21,0.47,0.59,14,25.03,12.83,14.57,0,25797,73.95,2.53,56.06,34.35,6.6,12.89,32055,11961,0,9097,5646,0,1810,6.84,16.28,25.41,15.31,3.67,65.62,27.69,20.11,22.67,21.74,6.08,27.56,8.37,3.04,79.99,81.44,87.19,85.51,81.24,85.52,0.87,13.45,17.65,26.05,26.05,0.12,0.16,0.24,0.24,91.11,0.42,3.61,2.46,2.43,2.62,1.88,80.28,0.94,38.26,3,180,96.65,74.48,0,40.56,1956,1.5,0.65,53200,232,293,24.9,15.8,11.5,0,0,0.91,83.77,61.36,80.63,93.19,8.9,1481.2,0.08,0,27.58,0,65.82,489.98,2069.62,153.58,7.31,93.4,2720.49,1,1,0,0,0
"Maplewoodcity","MN",1,30954,2.69,2.52,94.39,2.03,1.55,12.07,25.43,11.42,10.45,100,37856,82.29,0.89,51.08,23.45,4.87,16.45,43154,16637,13140,12365,14634,9502,6914,6.22,4.4,14.64,20.28,4.17,68.12,21.56,22.97,11.78,27,8.23,28.8,11.14,3.07,76.68,76.9,84.85,81.49,73.51,76.64,2.71,10.1,10.96,23.77,35.22,0.26,0.29,0.62,0.92,95.05,0.69,3.71,2.75,2.62,2.79,2.08,80.79,1.43,42.87,3,624,94.85,75.86,2.08,25.96,1969,0.35,0.35,87800,473,512,26.9,21.2,12,0,0,2.62,77.05,55.61,81.72,92.71,17.9,1724.8,3.35,0,28.3,79.7,109.22,667.12,4776.1,469.34,20.66,217.22,5933.22,1,1,0,0,0
"Enfieldtown","CT",1,45532,2.85,2.65,95.72,1.04,2.28,11.86,27.51,12.36,9.76,96.51,44635,84.94,0.71,50.24,24.74,3.78,18.37,48757,17014,8297,13171,12425,10337,11655,2.89,6.55,21.62,17.59,4.01,68.24,26.12,16.06,13.94,24.73,7.02,32.45,9.76,3.13,81.96,79.92,91.04,80.39,63.59,75.19,1.3,9.38,11.7,17.12,27.01,0.49,0.61,0.89,1.41,90.41,0.92,4.08,3.15,2.73,2.86,2.29,79.94,1.23,32.43,3,629,96.21,76.15,0.16,29.89,1960,0.89,0.13,143400,563,668,24.8,22.6,13.1,8,1,5.22,47.43,60.3,83.68,88.85,34.6,1314.3,1.28,2.19,0,50.46,37.29,618.62,1987.5,508.94,15.36,89.94,3130.42,3,0,0,1,0
"Glendalecity","CA",1,180038,2.62,1.3,74.02,14.14,20.96,12.04,26.68,12.37,11.54,100,34372,76.17,0.62,40.04,20.3,11.27,11.51,39652,19362,17693,20931,16696,9438,11182,14.37,11.54,22.83,28.55,6.95,60.04,14.43,24.78,9.07,33.09,8.68,34.45,13.33,3.22,77.1,74.78,86.01,79.01,52.45,59.33,2.62,30.33,41.41,50.77,60.4,13.71,18.71,22.94,27.29,46.84,15.46,6.98,4.6,2.59,2.63,2.56,39.38,18.31,75.17,2,3510,95.13,38.71,2.25,17.69,1962,1.53,0.46,343600,626,688,30.5,25.3,11.6,82,17,45.19,29.68,37.69,73.29,76.85,31.7,5677.3,4.15,5.02,16.72,197.91,154.42,889.74,2509.23,806.68,40.7,374.07,4246.35,4,0,0,0,1
"Worthingtoncity","OH",1,14869,2.67,2.28,94.74,2.67,0.74,13.71,20.33,9.48,12.38,100,49851,81.88,0.89,69.45,23.77,1.59,19.47,58871,22959,12964,15565,22630,9548,7828,2.35,1.33,5.95,54.76,2.57,66.85,10.06,43.92,2.33,53.3,5.73,22.37,11.09,3.01,82.5,82.05,94.94,78,64.94,72.84,0.74,11.79,16.19,26.85,28.84,0.56,0.77,1.27,1.37,94.75,0.53,2.47,1.9,2.6,2.69,2.14,85.62,0.43,18.79,3,164,97.14,82.53,0.61,30.49,1963,0.18,0.21,117500,394,465,24.6,18.7,11.4,10,0,4.73,58.81,59.75,85.21,89.74,5.8,2552.7,1.96,0,13.24,66.18,33.09,655.15,2739.73,119.12,26.47,112.51,3540.47,1,1,0,0,0
"Arlingtoncity","TX",1,261721,2.6,8.41,82.64,3.92,8.91,14.18,32.78,15.14,4.58,100,35048,90.25,0.81,39.01,11.05,2.71,9.12,41620,17420,11615,13416,11175,7804,9045,8.21,3.71,12.19,29.99,4.99,74.65,18.91,18.97,10.6,30.91,10.73,30.21,14.79,3.14,78.19,75.99,87.64,76.69,63.48,71.53,1.89,19.03,30.13,44.66,56.86,1.45,2.3,3.41,4.35,87.44,2.2,4.07,2.8,2.58,2.89,2.25,58,4.95,47.54,3,12116,89.26,51.84,1.81,27.45,1978,5.5,0.14,82800,382,444,23.7,22,11.8,47,1,7.64,51.54,36.76,67.01,84.09,96.4,2716.3,0.14,2.39,49.94,242.88,477.55,1360.48,3938.78,838.8,33.18,772.76,6171.24,2,0,1,0,0
"Plymouthcity","MN",1,50889,2.77,1.61,95.66,2.04,1.02,13.13,26.94,12.19,4.77,100,51314,92.25,1.19,58.68,11.08,2.41,7.95,59421,22294,16470,10181,14316,1754,9794,3.36,1.57,5.56,41.39,3.24,78.05,19.44,22.51,7.08,39.55,7.99,27.64,10.17,3.14,85.61,86.12,93.55,87.45,66.82,73.32,1.31,13.98,22.48,28.95,36.92,0.37,0.59,0.76,0.96,94.19,0.56,3.3,2.51,2.72,2.95,2.08,79.9,1.21,40.32,3,1255,93.6,73.63,0.08,14.5,1979,0.29,0.14,127400,578,611,22.9,21.7,11.5,0,0,2.61,63.24,43.01,76.47,85.75,34.1,1491.7,2.64,0,17.46,21.41,90.6,446.39,2418.09,164.72,102.13,129.47,3131.33,1,1,0,0,0
"NewYorkcity","NY",1,7322564,2.6,28.71,52.26,7,24.36,13.06,27.46,13.09,11.62,100,29823,73.57,0.48,35.38,24.6,13.12,12.56,34360,21972,10505,10861,12851,7151,8420,19.29,14.1,31.68,22.98,8.98,56.12,11.41,28.4,11.64,30.55,9.13,41,14.02,3.27,57.64,52.24,67.42,59.25,47.37,56.42,10.5,15.87,25.51,36.37,45.77,4.51,7.26,10.34,13.02,59.04,9.84,9.16,5.71,2.54,2.8,2.43,31.59,12.3,73.76,2,172768,94.23,28.64,4.83,40.33,1946,7.33,1.25,189600,448,496,25.7,21.8,14.1,23383,10447,28.45,53.09,63.06,82.76,89.78,320.1,22878.2,54.33,26.59,38.5,1174.95,857.68,1355.37,3212.39,1536.49,60.7,2097.72,6164.95,3,0,0,1,0
"Marinacity","CA",1,26436,3.34,18.97,53.6,20.84,10.73,16.16,37.22,19.09,4.13,100,29043,90.39,0.53,28.69,10.74,6.9,15.99,28870,12871,10242,6333,9734,7196,8444,9.67,5.8,15.83,17.01,3.5,75.2,6.69,20.66,9.67,20.38,7.15,24.55,11.83,3.32,80.12,77.88,90.58,78.19,51.64,64.58,1.69,12.27,18.31,29.88,43.12,2.25,3.36,5.48,7.91,71.79,4.31,7.26,6.07,3.05,2.8,3.18,31.74,11.94,55.65,2,353,95.73,34.5,0.57,3.12,1976,1.62,0.24,172500,607,666,31.6,23.3,12.3,0,0,18.34,24.24,26.33,46.38,54.52,9.1,2917.9,1.93,12.89,58.03,270.79,303.03,1457.12,3526.76,322.37,32.24,644.74,5338.49,4,0,0,0,1
"Lebanoncity","NH",1,12183,2.36,0.41,97.55,1.55,0.91,11.29,26.87,12.2,11.28,0,32221,84.63,0.51,38.36,23.87,3.37,10.47,40745,15086,12405,20559,7679,7826,11733,6.07,5.83,17.61,26.78,3.14,69.56,14.87,36.57,11.79,29.23,9.73,28.87,13.85,2.93,74.41,72.56,84.48,77.2,75.27,77.15,1.78,23.14,23.14,34.57,37.77,0.71,0.71,1.07,1.17,93.31,1.23,1.9,1.18,2.32,2.61,2.02,58.03,1.26,56.02,2,545,90.47,51.73,1.28,34.31,1957,3.83,0.79,117200,451,499,26.1,23.7,13.7,2,0,3.09,54.87,42.07,69.61,75.44,41.8,291.4,0.75,0,8.07,0,137.13,516.25,4694.68,217.79,32.27,145.2,5460.99,3,0,0,1,0
"Rockledgecity","FL",1,16023,2.63,13.79,83.94,1.42,2.4,11.91,23.09,10.33,13.65,100,34934,80.47,0.3,47.11,27.98,2.74,23.43,39691,16027,13246,9320,11052,9621,14449,5.75,4.07,14.21,21.25,5.39,64.92,18.44,24.03,9.88,32.44,10.45,23.08,13.36,2.96,77.22,72.98,82.62,75.63,67.95,75.78,1.41,10.38,12.4,19.68,23.72,0.48,0.57,0.91,1.1,93.6,0.75,3.74,2.82,2.58,2.61,2.45,78.92,2.26,29.4,3,437,93.31,77.85,1.14,29.52,1972,2.03,0.08,73900,457,543,24.5,20.9,11.3,0,0,4.63,28.32,45.19,75.45,81.03,10.1,1581.4,0.58,0,55.52,105.48,399.71,1254.65,4002.66,349.75,11.1,560.71,5618.16,2,0,1,0,0
"Rogerscity","AR",1,24692,2.54,0.06,97.72,0.77,1.86,12.84,25.81,11.93,14.62,0,26198,73.97,1.36,42.1,31.04,3.92,16.09,31007,12784,0,13934,12182,9809,9511,8.72,8.18,22.43,15.11,3.31,63.1,27.42,16.18,22.66,21.56,9.43,20.49,13.38,2.96,78.73,76.61,88.72,85.57,69.07,75.45,0.89,18.93,23.73,27.68,29.94,0.27,0.34,0.4,0.43,95.9,0.75,3.36,2.47,2.51,2.58,2.38,65.6,2.8,41.45,3,586,94.31,63.8,0.34,26.45,1976,8.04,0.4,60300,302,389,24.8,19.6,11.7,0,0,1.43,40.4,39.82,70.19,77.43,23,1073.9,0,0,29.18,32.42,142.64,755.34,3938.79,155.61,19.45,204.24,4869.19,2,0,1,0,0
"Bellairecity","TX",1,13842,2.35,0.41,94.65,1.98,7.95,8.23,18.3,6.98,13.57,100,45892,80.46,1.07,65.77,25.19,0.73,15.55,53342,24669,12941,16625,36559,10485,12650,3.33,2.73,7.59,48.93,2.69,70.55,8.73,31.56,3.65,48.83,9.63,23.77,15.57,2.86,78.29,77.07,91.35,86.93,69.26,74.41,0.32,0.85,5.26,15.08,30.16,0.04,0.27,0.77,1.53,89.62,1.21,2.69,1.82,2.35,2.36,2.33,75.61,1.36,30.49,3,319,94.85,75.35,1.25,32.6,1953,0.87,0.24,108900,529,675,20.2,18.5,12.1,0,0,5.08,60.71,57.14,86.99,94.36,3.7,3697.1,1.11,6.69,13.38,160.6,167.29,997.06,2388.92,301.12,6.69,347.96,3693.79,2,0,1,0,0
"ElCajoncity","CA",1,88693,2.7,2.92,87.36,2.82,13.97,13.77,30.92,15.15,9.65,100,28108,78.15,0.53,34.68,21.99,12.74,16.03,32096,14237,9215,9266,9291,7746,8951,12.92,6.71,21.49,14.45,7.07,61.86,12.47,21.82,11.44,23.15,13.12,31.67,19.09,3.09,65.86,63.25,74.02,65.85,52.92,62.42,3.29,20.75,31.36,43.8,50.16,2.01,3.04,4.25,4.87,85.2,3.17,5.26,3.68,2.63,2.64,2.63,40.87,8.76,63.54,2,1560,95.47,40.71,1.47,11.03,1970,2.97,0.24,158000,507,548,30.8,23.6,10.8,13,76,9.71,45.45,35.36,77.14,83.16,14.9,5943,2.17,8.59,45.1,260.94,579.87,1469.01,4634.68,954.64,33.29,894.5,7091.62,4,0,0,0,1
"MosesLakecity","WA",1,11235,2.6,1.89,82.45,1.82,18.16,14.59,25.62,12.02,13.36,0,23258,72.45,1.78,34.4,27.62,10.28,16.58,28495,11785,6562,18700,5910,6497,7045,15.28,12.99,26.49,14.51,6.5,57.18,18.92,22.82,16.52,24.61,10.96,24.93,13.25,3.12,75.49,73.66,84.59,76.77,61.08,71.15,1.84,27.63,30.07,38.71,40,1.71,1.86,2.39,2.47,83.37,2.94,5.93,4.1,2.55,2.71,2.29,66.4,4.87,47.7,3,321,93.07,62.56,2.18,38.94,1963,6.75,0.32,53900,268,306,26.2,16.1,11.5,0,0,6.19,48.88,44.43,76.23,87.33,9.4,1189.1,0.09,14.57,145.72,21.86,961.75,1581.06,7103.83,400.73,58.29,1143.9,9143.91,4,0,0,0,1
"WestMemphiscity","AR",1,28259,2.86,42.15,56.94,0.52,0.5,16.26,28.79,13.83,9.53,100,22052,77.25,1.32,21.89,25.09,13.69,9.35,27523,13654,5095,5019,15413,10764,9752,22.94,15.88,37.55,10.76,8.34,59.29,14.03,21.22,19.96,20.04,11.69,29.48,16.28,3.33,60.12,51.11,61.99,61.76,67.15,72.4,9.54,0,5.88,26.2,28.34,0,0.04,0.17,0.19,98.41,0.18,7.83,5.91,2.83,2.88,2.77,58.69,6.3,43.55,3,626,94.04,57.74,8.31,28.75,1967,12.35,1.08,50900,248,343,29,20.5,14.1,13,0,0.66,53.03,52.14,82.37,88.6,14.9,1900.7,0.1,25.12,86.13,434.25,179.44,707.01,2860.32,854.15,0,724.94,4421.48,2,0,1,0,0
